Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Chansons en fête,intercommunale,Bourgogne-Franche-Comté,Jura,Arbois,39600,39013,200069623,CC Champagnole Nozeroy Jura,17,Avenue,du Maréchal Leclerc,17 Avenue du Maréchal Leclerc,Association l'oreille en fête,www.oreille-en-fete.fr,contact@oreille-en-fete.fr,De 2000 à 2009,2009,Musique,,Chanson ou variété française,,,,,Avant-saison (1er janvier - 20 juin),,FEST_39013_305,"46.8941749828, 5.77318253275",
Festi'rêves,Intercommunale,Bourgogne-Franche-Comté,Jura,Censeau,39250,39083,200069623,CC Champagnole Nozeroy Jura,3,Rue,des Tarrots,3 Rue des Tarrots,,https://www.animcenseau.fr/activites/festireves,charlyreym@wanadoo.fr,De 2000 à 2009,2001,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_39083_1362,"46.8165867767, 6.07767180739",
festival international d'orgue d'Arbois,,Bourgogne-Franche-Comté,Jura,Arbois,39600,39013,200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",,,,,Eglise Saint-Just,www.orgueetmusiques.wix.com/arbois,arbois.orgueetmusiques@wanadoo.fr,De 2000 à 2009,2000,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_39013_308,"46.8941749828, 5.77318253275",
Le fruit des voix,Interrégionale,Bourgogne-Franche-Comté,Jura,Lons-le-Saunier,39000,39300,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),2,Rue,de Pavigny,2 Rue de Pavigny,adresse de l'association Musik Ap'Passionato,www.lefruitdesvoix.com,ap.passionato@wanadoo.fr,De 2000 à 2009,2001,Musique,,"Chanson ou variété française, Jazz, blues, Musiques du monde, Musiques traditionnelles",,,,,Après-saison (6 septembre - 31 décembre),,FEST_39300_3434,"46.6744796278, 5.55733212947",
Ideklic,,Bourgogne-Franche-Comté,Jura,Moirans-en-Montagne,39260,39333,200090579,CC Terre d'Émeraude Communauté,87,Avenue,ASSOCIATION IDEKLIC,87 Avenue ASSOCIATION IDEKLIC,87 avenue de Saint-Claude,https://www.ideklic.fr,admin.ideklic@orange.fr,De 1980 à 1989,1989,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_39333_3943,"46.4388080084, 5.73795329823",
No Logo Festival,,Bourgogne-Franche-Comté,Jura,Fraisans,39700,39235,243900560,CC Jura Nord,,,,,,www.nologofestival.fr,contact@nologofestival.com,2010 et après,2013,Musique,,"Musiques du monde, Reggae, dub",02- Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),,FEST_39235_2308,"47.1244743587, 5.75661818843",1838
Les Rendez-vous Rock'n Horses,,Bourgogne-Franche-Comté,Jura,Courlans,39570,39170,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),666,Rue,du Poissonnard,666 Rue du Poissonnard,,https://rocknhorsescourlans.com,a.delannoy@e-conception.fr,2010 et après,,Musique,,"Chanson ou variété française, Jazz, blues, Métal, hard rock, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_39170_1849,"46.6757012909, 5.48680231929",
Pupitres en liberté,Communale,Bourgogne-Franche-Comté,Jura,Dole,39100,39198,200010650,CA du Grand Dole,1,Place,de l'Europe,1 Place de l'Europe,,https://www.sortiradole.fr/?id=143&uid=8155,d.gueniat@dole.org,2010 et après,2014,Musique,,Musique classique,,,,,Avant-saison (1er janvier - 20 juin),,FEST_39198_2023,"47.0755452538, 5.50062446099",
Popoppidum festival,Départementale,Bourgogne-Franche-Comté,Jura,Champagnole,39300,39097,200069623,CC Champagnole Nozeroy Jura,,,,,,http://www.popoppidum.com,popoppidum@orange.fr,2010 et après,2010,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_39097_1450,"46.7445389751, 5.8988102947",
La guinguette au parc,intercommunale,Bourgogne-Franche-Comté,Jura,Lons-le-Saunier,39000,39300,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),,,,,,https://sortiralons.fr/guinguette-au-parc/,,2010 et après,2013,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_39300_3433,"46.6744796278, 5.55733212947",
Les heures joyeuses,Régionale,Bourgogne-Franche-Comté,Jura,Saint-Amour,39160,39475,200072056,CC Porte du Jura,,Place,Marcel Moyse,Place Marcel Moyse,,Office de tourisme du Jura,bazin.everett@yahoo.com,2010 et après,2017,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musique classique, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Musiques traditionnelles, Opéra, Pop, rock, RnB, Variétés internationales, Toutes les formes musicales",,,,,Avant-saison (1er janvier - 20 juin),,FEST_39475_5640,"46.4375471402, 5.33561825227",
Causons Cases à Cousance,,Bourgogne-Franche-Comté,Jura,Cousance,39190,39173,200067114,CA de l'Auxerrois,4,Rue,de la Gare,4 Rue de la Gare,Salle omnisport,http://www.causonscasesacousance.fr/,alve.cousance@gmail.com,De 1990 à 1999,1990,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Après-saison (6 septembre - 31 décembre),,FEST_39173_1858,"46.5333527445, 5.37741644744",
Chahut au Château,,Bourgogne-Franche-Comté,Jura,Gevingey,39570,39251,242504181,CC des Portes du Haut-Doubs,10,Rue,du Château,10 Rue du Château,Chemin de Montenay,https://chahutauchateau.com/,lescolorieurs@gmail.com,2010 et après,2014,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_39251_2391,"46.6375986496, 5.50938673759",
L'automne sera noir – Rencontres littéraires autour du polar et du roman,,Bourgogne-Franche-Comté,Jura,Le Deschaux,39120,39193,200010650,CA du Grand Dole,1,route,de Dole,1 route de Dole,,aucun,bibliotheque.le.deschaux@gmail.com,2010 et après,2017,"Livre, littérature",,,,,,"Bande dessinée, comics, manga, Fiction (roman, théâtre, etc.), Polar",Après-saison (6 septembre - 31 décembre),,FEST_39193_3074,"46.9505140483, 5.49877819906",
Dé-lire en Revermont,,Bourgogne-Franche-Comté,Jura,Poligny,39600,39434,200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",,,,,,,lireaucoeurdujura@lilo.org,2010 et après,2017,"Livre, littérature",,,,,,,Saison (21 juin - 5 septembre),,FEST_39434_5124,"46.8222386118, 5.73292565089",
Festival de la Source,Intercommunale,Bourgogne-Franche-Comté,Jura,Gendrey,39700,39246,243900560,CC Jura Nord,37,Rue,de la république,37 Rue de la république,,http://lacarotte.org/action-culturelle/festival-de-la-source,contact@lacarotte.org,De 2000 à 2009,2007,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_39246_2375,"47.1963062843, 5.68474768742",
Bresstival,Intercommunale,Bourgogne-Franche-Comté,Jura,Bletterans,39140,39056,242500361,CU Grand Besançon Métropole,,,,,,http://www.bresstival.com/,,2010 et après,2015,Musique,,,02- Musiques amplifiées ou électroniques,,,,Après-saison (6 septembre - 31 décembre),,FEST_39056_857,"46.7316211339, 5.42781411933",2196
Champagnole jazz festival,Intercommunale,Bourgogne-Franche-Comté,Jura,Champagnole,39300,39097,247100589,CA Le Grand Chalon,,Place,Charles de Gaulle,Place Charles de Gaulle,Mairie,www.champagnole.fr,,2010 et après,2011,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_39097_1449,"46.7445389751, 5.8988102947",
Luzygomatique,,Bourgogne-Franche-Comté,Nièvre,Luzy,58170,58149,200067882,CC Bazois Loire Morvan,,,,,,,luzyvillagedufutur@gmail.com,2010 et après,2018,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58149_3511,"46.7965929965, 3.99922728747",
Festival du Garage Théâtre,Départementale,Bourgogne-Franche-Comté,Nièvre,Cosne-Cours-sur-Loire,58200,58086,200067916,CC Cœur de Loire,235,Rue,des frères Gambon,235 Rue des frères Gambon,,facebook garage theatre,le.garage.theatre@gmail.com,2010 et après,,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58086_1829,"47.4029099422, 2.94284103771",
Festi Rues,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Decize,58300,58095,200067700,CC Sud Nivernais,,,,,,www.ville-decize.fr,mairiedecize@wanadoo.fr,De 2000 à 2009,2006,Spectacle vivant,Arts de la rue,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58095_1939,"46.8088592771, 3.46630747619",
Rock en Plaine,,Bourgogne-Franche-Comté,Nièvre,Varennes-Vauzelles,58640,58303,245804406,CA de Nevers,,,,,,www.rockenplaine.org,rockenplaine@gmail.com,2010 et après,2010,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_58303_6937,"47.0372879565, 3.14354311851",
Le mois de la photo en Nièvre,Départementale,Bourgogne-Franche-Comté,Nièvre,Nevers,58000,58194,245804406,CA de Nevers,,,,,,,dom.laroche@sfr.fr,2010 et après,2012,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58194_4371,"46.9881194908, 3.15689130958",
Opéra Voyageur,Départementale,Bourgogne-Franche-Comté,Nièvre,Lormes,58140,58145,200067890,CC Morvan Sommets et Grands Lacs,,,,,,www.operavoyageur.fr,marieburroni17@gmail.com,2010 et après,2017,Musique,,opéra,,,,,Saison (21 juin - 5 septembre),,FEST_58145_3453,"47.2894645643, 3.82491613793",
Rencontres musicales de Noyers,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Noyers,89310,89279,200039709,CC du Serein,17,Rue,de Venoise,17 Rue de Venoise,,http://www.musicalesdenoyers.com/,,De 1990 à 1999,1991,Musique,,,"11- Musique classique, lyrique, contemporaine, autres",,,,Saison (21 juin - 5 septembre),,FEST_89279_4486,"47.6952215995, 3.98085741528",5953
Jaune Moutarde,,Bourgogne-Franche-Comté,Nièvre,Brassy,58140,58037,200067890,CC Morvan Sommets et Grands Lacs,,Route,Saint Gervais,Route Saint Gervais,Salle des fêtes,https://labrassee.org/,labrassee@free.fr,2010 et après,2017,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_58037_1029,"47.2637724452, 3.93404612826",
Festival Traverses,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Château-Chinon (Campagne),58120,58063,200067890,CC Morvan Sommets et Grands Lacs,,,,,,,jerome.frilley@allianz.fr,2010 et après,2018,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_58063_1522,"47.056080506, 3.9410750203",
Foire aux disques et BD de Clamecy,,Bourgogne-Franche-Comté,Nièvre,Clamecy,58500,58079,200067429,CC Haut Nivernais-Val d'Yonne,,,,,,,contact@mairie-clamecy.fr,De 1990 à 1999,1993,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58079_1650,"47.4610140738, 3.51008131187",
Les petites rêveries,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Brinon-sur-Beuvron,58420,58041,200067692,CC Tannay-Brinon-Corbigny,4,Rue,Victor Gueneau,4 Rue Victor Gueneau,,www.lespetitesreveries.com,contact@espetitesreveries.com,De 2000 à 2009,2003,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_58041_1085,"47.2843863072, 3.49020583859",
"Chemins des arts, festival de danse en milieu rural",,Bourgogne-Franche-Comté,Nièvre,Authiou,58700,58018,200071595,"CC Arbois, Poligny, Salins, Cœur du Jura",,,,,Bergerie de Soffin,www.festivalcheminsdesarts.com,info@espace-des-arts.com,De 2000 à 2009,2005,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58018_476,"47.2653242927, 3.41891982538",
D'Jazz Nevers Festival,,Bourgogne-Franche-Comté,Nièvre,Nevers,58000,58194,245804406,CA de Nevers,6,Place,des Reines de Pologne,6 Place des Reines de Pologne,,www.djazznevers.com,contact@djazznevers.com,De 1980 à 1989,1987,Musique,,"Jazz, blues, Musique contemporaine","03- Jazz, blues et musiques improvisées",,,,Après-saison (6 septembre - 31 décembre),,FEST_58194_4369,"46.9881194908, 3.15689130958",129
Festival du livre de La Chapelle-Saint-André,,Bourgogne-Franche-Comté,Nièvre,La Chapelle-Saint-André,58210,58058,200067429,CC Haut Nivernais-Val d'Yonne,,,,,,,,2010 et après,2010,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_58058_2724,"47.4008356839, 3.32446330279",
Accords perdus,,Bourgogne-Franche-Comté,Nièvre,Narcy,58400,58189,200068088,CC Les Bertranges,,route,des Bertins,route des Bertins,La Grange à Zik,,barricades.mysterieuses@orange.fr,2010 et après,2014,Musique,,"Jazz, blues, Musique classique, Musiques traditionnelles, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_58189_4342,"47.2328455003, 3.10662279955",
Tandem Nevers,,Bourgogne-Franche-Comté,Nièvre,Nevers,58000,58194,245804406,CA de Nevers,17,Rue,Jean-Jaurès,17 Rue Jean-Jaurès,Médiathèque Jean-Jaurès,www.tandemnevers.fr,contact@tandemnevers.fr,2010 et après,2012,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.)",Avant-saison (1er janvier - 20 juin),,FEST_58194_4374,"46.9881194908, 3.15689130958",
Nevers à vif,Régionale,Bourgogne-Franche-Comté,Nièvre,Nevers,58000,58194,245804406,CA de Nevers,10,Rue,Mademoiselle Bouregois,10 Rue Mademoiselle Bouregois,,https://www.aucharbon.org/festival-nevers-a-vif/,cafecharbon@aucharbon.org,De 1980 à 1989,1987,Musique,,,02- Musiques amplifiées ou électroniques,,,,Après-saison (6 septembre - 31 décembre),,FEST_58194_4373,"46.9881194908, 3.15689130958",465
La transverse fait son festival !,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Corbigny,58800,58083,200067692,CC Tannay-Brinon-Corbigny,30,route,de Saint-Saulge,30 route de Saint-Saulge,,www.latransverse.com,coordination@latransverse.com,2010 et après,,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58083_1816,"47.2565578889, 3.68948978336",
Le Chat Musiques,,Bourgogne-Franche-Comté,Nièvre,La Charité-sur-Loire,58400,58059,200068088,CC Les Bertranges,,,,,,,,De 1990 à 1999,1993,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_58059_2731,"47.1835862006, 3.02885515594",
Fleurs de Jazz,Régionale,Bourgogne-Franche-Comté,Nièvre,Larochemillay,58370,58140,200067882,CC Bazois Loire Morvan,8,Place,De l’église,8 Place De l’église,,www.larochemillayjazzfestival.fr,cj.godon@gmail.com,2010 et après,2013,Musique,,"Jazz, blues",,,,,Avant-saison (1er janvier - 20 juin),,FEST_58140_3001,"46.8904175771, 3.98533892675",
Tant de Paroles,,Bourgogne-Franche-Comté,Nièvre,Fourchambault,58600,58117,245804406,CA de Nevers,3,Rue,du 4 septembre,3 Rue du 4 septembre,,https://www.ville-fourchambault.fr/,siloe.mialon@mairie-fourchambault.fr,2010 et après,2011,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_58117_2304,"47.0168666428, 3.09059273072",
Festiv Halles,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Decize,58300,58095,200067700,CC Sud Nivernais,,,,,,www.ville-decize.fr,mairiedecize@wanadoo.fr,De 2000 à 2009,2005,Musique,,Musiques traditionnelles,,,,,Saison (21 juin - 5 septembre),,FEST_58095_1940,"46.8088592771, 3.46630747619",
Fête de l'accordéon,,Bourgogne-Franche-Comté,Nièvre,Luzy,58170,58149,200067882,CC Bazois Loire Morvan,,Rue,Des Remparts,Rue Des Remparts,Salle Marcel Joyeux – Cour de l'école des filles,https://fetedelaccordeon.com/,fetedelaccordeonluzy@gmail.com,De 2000 à 2009,2009,Musique,,"Chanson ou variété française, Jazz, blues, Musique classique, Musique contemporaine, Musiques du monde, Musiques traditionnelles, Pop, rock",,,,,Saison (21 juin - 5 septembre),,FEST_58149_3509,"46.7965929965, 3.99922728747",
Festival des Balkans,,Bourgogne-Franche-Comté,Nièvre,Taconnay,58420,58283,200067692,CC Tannay-Brinon-Corbigny,1,Route,Route de la Vallée,1 Route Route de la Vallée,,www.festivaldesbalkans.com,stephane.villain@sfr.fr,2010 et après,2013,Musique,,Musiques du monde,,,,,Saison (21 juin - 5 septembre),,FEST_58283_6492,"47.312512267, 3.48949357869",
Partie de campagne : Festival du film court d'Ouroux-en-Morvan,,Bourgogne-Franche-Comté,Nièvre,Ouroux-en-Morvan,58230,58205,200067890,CC Morvan Sommets et Grands Lacs,1,,,1,Centre Bourg,www.sceniquanon.com,direction@sceniquanon.com,De 2000 à 2009,,"Cinéma, audiovisuel",,,,Court métrage,,,Saison (21 juin - 5 septembre),,FEST_58205_4570,"47.1892092482, 3.95313922801",
Salon du Livre de Cosne-sur-Loire,,Bourgogne-Franche-Comté,Nièvre,Cosne-Cours-sur-Loire,58200,58086,200067916,CC Cœur de Loire,,,,,,,traitdunion58@orange.fr,De 1990 à 1999,1990,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58086_1832,"47.4029099422, 2.94284103771",
Festival Le Vent sur l'Arbre,,Bourgogne-Franche-Comté,Nièvre,Millay,58170,58168,200067882,CC Bazois Loire Morvan,,,,,,,bethermin58mail.com,De 2000 à 2009,2001,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58168_3922,"46.8347484024, 3.99024145825",
Les nuits musicales de Bazoches,,Bourgogne-Franche-Comté,Nièvre,Bazoches,58190,58023,200067890,CC Morvan Sommets et Grands Lacs,,Place,Eglise Saint-Hilaire,Place Eglise Saint-Hilaire,,www.lesnuitsmusicalesdebazoches,lesnuitsmusicalesdebazoches@orange.fr,De 1990 à 1999,1994,Musique,,"Musique classique, Opéra",,,,,Saison (21 juin - 5 septembre),,FEST_58023_670,"47.368858753, 3.79377524452",
Aux Quatre Coins Du Mot,,Bourgogne-Franche-Comté,Nièvre,La Charité-sur-Loire,58400,58059,200069565,CC des Lacs et Montagnes du Haut-Doubs,8,Cour,du Château,8 Cour du Château,,www.citedumot.fr,info@citedumot.fr,De 2000 à 2009,2005,Pluridisciplinaire,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_58059_2728,"47.1835862006, 3.02885515594",
Les Avant-premières de Cosne-sur-Loire,,Bourgogne-Franche-Comté,Nièvre,Cosne-Cours-sur-Loire,58200,58086,200067916,CC Cœur de Loire,33,Rue,Rivières Saint-Agnan,33 Rue Rivières Saint-Agnan,,http://www.traitdunion58.fr,traitdunion58@orange.fr,De 1990 à 1999,1999,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage",,,Après-saison (6 septembre - 31 décembre),,FEST_58086_1831,"47.4029099422, 2.94284103771",
À bout de Courts,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Cosne-Cours-sur-Loire,58200,58086,200067916,CC Cœur de Loire,6,Rue,des Forges,6 Rue des Forges,Médiathèque de Cosne,https://mediatheques-coeurdeloire.bibenligne.fr/festival-a-bout-de-courts,mediatheques@coeurdeloire.fr,2010 et après,2013,"Cinéma, audiovisuel",,,,Court métrage,,,Après-saison (6 septembre - 31 décembre),,FEST_58086_1828,"47.4029099422, 2.94284103771",
Festival du Potager,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Mhère,58140,58166,200067692,CC Tannay-Brinon-Corbigny,,,,,Le Bourg,,bordsdemhere@gmail.com,2010 et après,2015,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_58166_3913,"47.1949524122, 3.86024509237",
Festi’ rencontres,Départementale,Bourgogne-Franche-Comté,Nièvre,Château-Chinon (Ville),58120,58062,200067890,CC Morvan Sommets et Grands Lacs,,,,,,,morvanfestirencontres@outlook.com,2010 et après,2017,Musique,,Musiques traditionnelles,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58062_1523,"47.0626511564, 3.92696760176",
Fête du violon,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Luzy,58170,58149,200067882,CC Bazois Loire Morvan,,,,,,http://www.feteduviolon.com/,cordesenfolie@wanadoo.fr,De 2000 à 2009,2001,Musique,,musiques traditionnelles,04- Musiques traditionnelles et du monde,,,,Avant-saison (1er janvier - 20 juin),,FEST_58149_3510,"46.7965929965, 3.99922728747",2826
Les rendez-vous de l'opéra voyageur,Régionale,Bourgogne-Franche-Comté,Nièvre,Brassy,58140,58037,200067890,CC Morvan Sommets et Grands Lacs,60,route,Route de la Voie Romaine,60 route Route de la Voie Romaine,L'Huis Guyollot,www.operavoyageur.fr,operavoyageur@gmail.com,2010 et après,2018,Musique,,"Musique classique, Opéra, operette et comédie musicale américaine",,,,,Saison (21 juin - 5 septembre),,FEST_58037_1030,"47.2637724452, 3.93404612826",
Format Raisins,,Bourgogne-Franche-Comté,Nièvre,La Charité-sur-Loire,58400,58059,200068088,CC Les Bertranges,,,,,,www.format-raisins.fr,,2010 et après,2013,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_58059_2730,"47.1835862006, 3.02885515594",
Le vent sur l'arbre,,Bourgogne-Franche-Comté,Nièvre,Millay,58170,58168,200067882,CC Bazois Loire Morvan,1,Rue,Le Bourg,1 Rue Le Bourg,Eglise de Millay,www.leventsurlarbre.fr,vsabilletterie@gmail.com,De 2000 à 2009,2001,Musique,,"Musique classique, Musique contemporaine","11- Musique classique, lyrique, contemporaine, autres",,,,Saison (21 juin - 5 septembre),,FEST_58168_3923,"46.8347484024, 3.99024145825",5885
Littér'Halles - Salon de la nouvelle de Decize,,Bourgogne-Franche-Comté,Nièvre,Decize,58300,58095,200067700,CC Sud Nivernais,,,,,,,nouvellesdecize@gmail.com,2010 et après,2013,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_58095_1941,"46.8088592771, 3.46630747619",
Fêtes musicales de Corbigny,Régionale,Bourgogne-Franche-Comté,Nièvre,Corbigny,58800,58083,200067692,CC Tannay-Brinon-Corbigny,6,Rue,rue de l'Abbaye,6 Rue rue de l'Abbaye,26 rue des Forges,fetesmusicalesdecorbigny.eu,setre.jeanpaul@gmail.com,De 1980 à 1989,,Musique,,"Musique classique, Musiques du monde",,,,,Saison (21 juin - 5 septembre),,FEST_58083_1814,"47.2565578889, 3.68948978336",
Festival du livre jeunesse de Cosne-Sur-Loire,,Bourgogne-Franche-Comté,Nièvre,Cosne-Cours-sur-Loire,58200,58086,200067916,CC Cœur de Loire,,,,,,,mediatheques@coeurdeloire.fr,De 1980 à 1989,1989,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58086_1830,"47.4029099422, 2.94284103771",
Blues en Loire,Intercommunale,Bourgogne-Franche-Comté,Nièvre,La Charité-sur-Loire,58400,58059,247104094,CC Sud Côte Chalonnaise,12,Rue,Sainte-Anne,12 Rue Sainte-Anne,,Www.bluesenloire.com,Production@bluesenloire.com,De 2000 à 2009,2002,Musique,,"Jazz, blues","03- Jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),,FEST_58059_2729,"47.1835862006, 3.02885515594",973
Jours de Danse(s),,Bourgogne-Franche-Comté,Nièvre,Corbigny,58800,58083,200067692,CC Tannay-Brinon-Corbigny,6,Rue,de l'Abbaye,6 Rue de l'Abbaye,6 rue de l'Abbaye,https://www.alentours-reveurs.com/la-ruche-en-mouvement/jours-de-danses/,contact@alentours-reveurs.com,2010 et après,2018,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58083_1815,"47.2565578889, 3.68948978336",
Cour Denis,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Lormes,58140,58145,200067890,CC Morvan Sommets et Grands Lacs,,,,,,,jeromemorvan@hotmail.fr,2010 et après,2012,Musique,,musiques traditionnelles,,,,,Saison (21 juin - 5 septembre),,FEST_58145_3450,"47.2894645643, 3.82491613793",
Les petites flâneries de Saint-Seine,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Saint-Seine,58250,58268,200067882,CC Bazois Loire Morvan,,,,,,,theatre.accalmie@gmail.com,2010 et après,2015,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_58268_6166,"46.7247057323, 3.81621435",
Festival Résistance,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Clamecy,58500,58079,200067429,CC Haut Nivernais-Val d'Yonne,,,,,,,clamecywittmer@wanadoo.fr,2010 et après,2015,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58079_1649,"47.4610140738, 3.51008131187",
Les zaccros d'ma rue,Régionale,Bourgogne-Franche-Comté,Nièvre,Nevers,58000,58194,245804406,CA de Nevers,12,Quai,de Médine,12 Quai de Médine,,www.zaccros.org,zaccrosdmarue@wanadoo.fr,De 2000 à 2009,2000,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_58194_4372,"46.9881194908, 3.15689130958",
Les heures festives,Départementale,Bourgogne-Franche-Comté,Nièvre,Monceaux-le-Comte,58190,58170,200067692,CC Tannay-Brinon-Corbigny,,,,,,,leslivreurs@leslivreurs.com,2010 et après,2017,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_58170_3949,"47.3317643391, 3.66490728626",
Expolaroïd,Départementale,Bourgogne-Franche-Comté,Nièvre,Lormes,58140,58145,200067890,CC Morvan Sommets et Grands Lacs,11,Rue,du Pont National,11 Rue du Pont National,Galerie l’oeil à facettes,,,2010 et après,2017,"Arts visuels, arts numériques",,,,,Photographie,,Avant-saison (1er janvier - 20 juin),,FEST_58145_3451,"47.2894645643, 3.82491613793",
Festival C - Chanson Française et Cirque Nouveau,,Bourgogne-Franche-Comté,Nièvre,Lormes,58140,58145,200067890,CC Morvan Sommets et Grands Lacs,1,Place,place François Mitterrand,1 Place place François Mitterrand,,https://www.facebook.com/lormesfestivalc,festivaldelormesc@gmail.com,De 1990 à 1999,1996,Musique,,Chanson ou variété française,,,,,Saison (21 juin - 5 septembre),,FEST_58145_3452,"47.2894645643, 3.82491613793",
"Les Conviviales – Art, cinéma et ruralité de Nannay",,Bourgogne-Franche-Comté,Nièvre,Nannay,58350,58188,200068088,CC Les Bertranges,1,Place,de la Mairie,1 Place de la Mairie,,www.nannay.fr,conviviales.nannay@wanadoo.fr,De 2000 à 2009,2001,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage",,,Saison (21 juin - 5 septembre),,FEST_58188_4276,"47.2606508434, 3.16417632976",
Festival des pinces à linge,Intercommunale,Bourgogne-Franche-Comté,Nièvre,Nevers,58000,58194,245804406,CA de Nevers,,,,,,,,2010 et après,2017,Musique,,musique classique,,,,,Après-saison (6 septembre - 31 décembre),,FEST_58194_4370,"46.9881194908, 3.15689130958",
Biennale Art contemporain,,Bourgogne-Franche-Comté,Saône-et-Loire,Marcigny,71100,71275,242500361,CU Grand Besançon Métropole,,,,,,,art.marcigny@hotmail.fr,2010 et après,2012,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_71275_3649,"46.2756272512, 4.039116013",
Journées de l'Orgue,,Bourgogne-Franche-Comté,Saône-et-Loire,Charolles,71120,71106,200071884,CC Le Grand Charolais,,,,,,,orguecharolles@gmail.com,2010 et après,2017,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71106_1496,"46.4476067658, 4.28009429694",
